Date,Rn,Rg,RH,Ta,Pa,Tbc,P
2021-03-03 11:30:0,388.9753,535.4236,74.32999000000001,13.78,1023.5722400000001,14.21,0.0
2021-03-03 12:00:0,426.0645,579.3199,65.91,15.598329999999999,1023.40844,16.235,0.0
2021-03-03 12:30:0,460.3406,616.9978,57.28167,16.71667,1023.0078800000001,17.43051,0.0
2021-03-03 13:00:0,476.1833,637.9476,51.82,17.59,1022.9253199999999,18.235,0.0
2021-03-03 13:30:0,476.6035,640.5284,49.66,17.88,1022.6248400000001,18.59167,0.0
2021-03-03 14:00:0,462.5812,625.0547,47.70333,18.235,1022.1846800000001,18.96167,0.0
2021-03-03 14:30:0,442.7218,602.2706,45.861670000000004,18.473329999999997,1021.8860000000001,19.08333,0.0
2021-03-03 15:00:0,344.2989,482.1348,46.77833,18.485,1021.5668,19.08667,0.034
2021-03-03 15:30:0,357.5312,493.7442,48.68333,18.62,1021.29848,19.16333,0.011000000000000001
2021-03-03 16:00:0,297.8028,435.9996,49.315,18.55333,1021.08416,18.85333,0.0
2021-03-03 16:30:0,245.3143,377.0783,49.57666,18.41666,1020.88268,18.718329999999998,0.0
2021-03-03 17:00:0,165.82299999999998,288.8569,50.5,18.136670000000002,1020.62444,18.33559,0.0
2021-03-03 17:30:0,91.22088000000001,203.3555,51.65833,17.56333,1020.5152400000001,17.66166,0.0
2021-03-03 18:00:0,21.958029999999997,120.4745,59.97166,16.38,1020.43208,16.465,0.0
2021-03-03 18:30:0,-32.14243,53.60975,66.44333,15.106670000000001,1020.57164,15.05667,0.0
2021-03-03 19:00:0,-65.66058000000001,8.829817,72.46833000000001,13.81,1020.53672,13.27,0.0
2021-03-03 19:30:0,-69.57861,0.0,73.03833,12.911669999999999,1020.7805599999999,11.53833,0.0
2021-03-03 20:00:0,-66.09114,0.0,76.82833000000001,12.161669999999999,1020.96872,10.185,0.0
2021-03-03 20:30:0,-65.15888000000001,0.0,79.21166,11.65333,1020.8888,9.642372,0.0
2021-03-03 21:00:0,-65.1864,0.0,81.21833000000001,11.56667,1020.7706,8.791667,0.0
2021-03-03 21:30:0,-62.48805,0.0,85.32333,10.328330000000001,1020.7347199999999,8.018332000000001,0.0
2021-03-03 22:00:0,-60.02426,0.05140137,83.09167,10.68833,1020.73952,7.6,0.0
2021-03-03 22:30:0,-55.99503000000001,0.004167791,83.40833,10.58,1020.7023199999999,6.743333,0.0
2021-03-03 23:00:0,-42.55299,0.064951,88.97166,9.221666,1020.73052,6.383333,0.0
2021-03-03 23:30:0,-40.25206,0.0,92.00166,8.469999000000001,1020.7041199999999,6.296667,0.0
2021-03-04 00:00:0,-49.44912,0.1469259,89.89333,9.199999,1020.6074,5.663333000000001,0.0
2021-03-04 00:30:0,-52.14437,0.0,90.45,8.921666,1020.36548,4.985,0.0
2021-03-04 01:00:0,-52.38159,0.0,90.805,9.318333,1020.12908,4.775,0.0
2021-03-04 01:30:0,-53.49525,0.0,93.09,8.166667,1019.7339199999999,4.5,0.0
2021-03-04 02:00:0,-52.86018000000001,0.0,95.36333,7.45,1019.4975199999999,4.7366660000000005,0.0
2021-03-04 02:30:0,-47.27362,0.0,95.36333,7.818333,1019.2152800000001,5.42,0.0
2021-03-04 03:00:0,-43.538270000000004,0.0,95.8,7.508333,1019.18576,4.971666,0.0
2021-03-04 03:30:0,-36.903040000000004,0.0,96.41666,7.126666,1018.79876,4.606667,0.0
