"Freq [GHz]","dB(S(2,1)) [] - $eps1='4' $eps2='0.3'","dB(S(2,1)) [] - $eps1='5' $eps2='0.6'","dB(S(2,1)) [] - $eps1='6' $eps2='0.9'","dB(S(2,1)) [] - $eps1='7' $eps2='1.1'","dB(S(2,1)) [] - $eps1='8' $eps2='1.4'","dB(S(2,1)) [] - $eps1='9' $eps2='1.8'","dB(S(2,1)) [] - $eps1='10' $eps2='2.1'","dB(S(2,1)) [] - $eps1='11' $eps2='2.5'","dB(S(2,1)) [] - $eps1='12' $eps2='2.8'","dB(S(2,1)) [] - $eps1='13' $eps2='3.1'","dB(S(2,1)) [] - $eps1='14' $eps2='3.6'","ang_deg_val(S(2,1)) [] - $eps1='4' $eps2='0.3'","ang_deg_val(S(2,1)) [] - $eps1='5' $eps2='0.6'","ang_deg_val(S(2,1)) [] - $eps1='6' $eps2='0.9'","ang_deg_val(S(2,1)) [] - $eps1='7' $eps2='1.1'","ang_deg_val(S(2,1)) [] - $eps1='8' $eps2='1.4'","ang_deg_val(S(2,1)) [] - $eps1='9' $eps2='1.8'","ang_deg_val(S(2,1)) [] - $eps1='10' $eps2='2.1'","ang_deg_val(S(2,1)) [] - $eps1='11' $eps2='2.5'","ang_deg_val(S(2,1)) [] - $eps1='12' $eps2='2.8'","ang_deg_val(S(2,1)) [] - $eps1='13' $eps2='3.1'","ang_deg_val(S(2,1)) [] - $eps1='14' $eps2='3.6'"
0.355381604696673,-44.8033886056617,-47.121286811708,-47.9123811265635,-49.5624675531372,-50.9437654063804,-51.0985661326195,-52.0698247664429,-50.7137655728465,-52.0117095161218,-52.4262217626598,-49.0420366026108,-24.5056944231464,-64.5109043073805,-96.4028000842157,-114.918333636755,-128.139202092148,-137.449306182432,-141.6554460686,-143.227187388354,-142.779620112271,-144.451231828963,-131.027904913885
0.36105675146771,-44.2679982782929,-46.44812067597,-47.1555769260668,-48.7688891791532,-50.0989868266942,-50.2694523603718,-51.1739898090818,-49.9119297462499,-51.1424367910276,-51.4930314561331,-48.466726341471,-33.2581158551838,-74.4209935773084,-105.660736547084,-122.95110225081,-134.723030260417,-143.153801523729,-146.819830243467,-148.454766922912,-147.606728113334,-149.219176632862,-138.042387002351
0.366731898238748,-43.70778003568,-45.7425540019272,-46.3831680618425,-47.9592467391552,-49.2242066605755,-49.3887138107533,-50.2292425785927,-49.0299908617991,-50.1943147244521,-50.4980837857434,-47.8499634296847,-42.2223187655936,-84.3410270370355,-114.765933510243,-130.770392504315,-141.220851121314,-148.923242178812,-152.305753260047,-153.829525868237,-152.800732193655,-154.543467145733,-144.610091130248
0.372407045009785,-43.1221148119906,-45.0092249531339,-45.5992048256933,-47.1342731460069,-48.3240660052252,-48.4702661730545,-49.2644021164786,-48.0891109784674,-49.2030598774663,-49.4859728427767,-47.1757145990754,-51.3905467115678,-94.2522190549861,-123.7303840772,-138.427635616748,-147.728802854125,-154.898527414099,-158.221836302584,-159.567228912955,-158.544004589157,-160.538482115314,-150.839417345163
0.378082191780822,-42.5109624927224,-44.2532830099408,-44.8071062736474,-46.2949416525784,-47.4057500686007,-47.5325596127365,-48.3085945851328,-47.1189234449958,-48.2076161174927,-48.4986258903294,-46.432139912985,-60.7542239160773,-104.142280072742,-132.572536427512,-145.980775035437,-154.332310310022,-161.177664019349,-164.599399553924,-165.807953145992,-164.909498024461,-167.203858181983,-156.892772063145
0.383757338551859,-41.8749561454903,-43.4801332968268,-44.0097746022759,-45.442992380349,-46.4784543828011,-46.5956342581048,-47.3875680348235,-46.1513283318309,-47.2435786263753,-47.5709399629273,-45.6159953052316,-70.3044564326008,-114.00529098538,-141.316302045388,-153.491931987048,-161.100178924102,-167.810750230122,-171.407616436909,-172.60896593855,-171.880280981322,-174.461366827038,-162.970763198682
0.389432485322896,-41.2154714281708,-42.6952314207928,-43.2097825009733,-44.5813601402697,-45.5525811970785,-45.678632372705,-46.5220719813533,-45.2159065663822,-46.3404409645209,-46.7304718930407,-44.7352070486381,-80.0325505219357,-123.841139397501,-149.990156979085,-161.02441096102,-168.081333189559,-174.80420299567,-178.571276285633,-179.958108723958,-179.378581072661,177.814834283326,-169.280250299349
0.395107632093933,-40.534666115686,-41.9039430025891,-42.4096103426592,-43.7144399598134,-44.6388906945973,-44.7982131282618,-45.7274659180128,-44.3378098371552,-45.5215590852715,-45.9987353084018,-43.808228710369,-89.9304870192833,-133.654669638962,-158.626244989136,-168.639204463975,-175.304236110138,177.87057523741,174.016179254657,172.206584467998,172.712529683125,169.784757090761,-175.997833230316
0.400782778864971,-39.8354882294843,-41.1114694154849,-41.61190967055,-42.8481540432159,-43.7477717874845,-43.9677604152239,-45.013522711689,-43.5374352457,-44.8049844571163,-45.3920122099384,-42.8605698486332,-99.9912879508382,-143.454679037569,-167.259357505008,-176.391354906099,177.221674059211,170.268313831449,166.485586220714,163.981681419926,164.540294732296,161.644648313936,176.75619655695
0.406457925636008,-39.1216547218352,-40.322831969612,-40.8197671842568,-41.9898212671202,-42.8887003026294,-43.1970097108932,-44.38367299251,-42.8306940215312,-44.2036655987781,-44.92026981509,-41.9203409864708,-110.209218458087,-153.252852477636,-175.925665076366,175.673386582491,169.503441539974,162.462760297936,158.988034836772,155.491251166159,156.284127753409,153.63846992757,168.925710335048
