"Freq [GHz]","dB(S(2,1)) [] - $eps1='1' $eps2='0'","dB(S(2,1)) [] - $eps1='2' $eps2='0.1'","dB(S(2,1)) [] - $eps1='3' $eps2='0.2'","dB(S(2,1)) [] - $eps1='4' $eps2='0.3'","dB(S(2,1)) [] - $eps1='5' $eps2='0.6'","dB(S(2,1)) [] - $eps1='6' $eps2='0.9'","dB(S(2,1)) [] - $eps1='7' $eps2='1.1'","dB(S(2,1)) [] - $eps1='8' $eps2='1.4'","dB(S(2,1)) [] - $eps1='9' $eps2='1.8'","dB(S(2,1)) [] - $eps1='10' $eps2='2.1'","dB(S(2,1)) [] - $eps1='11' $eps2='2.5'","dB(S(2,1)) [] - $eps1='12' $eps2='2.8'","arg(S(2,1)) [deg] - $eps1='1' $eps2='0'","arg(S(2,1)) [deg] - $eps1='2' $eps2='0.1'","arg(S(2,1)) [deg] - $eps1='3' $eps2='0.2'","arg(S(2,1)) [deg] - $eps1='4' $eps2='0.3'","arg(S(2,1)) [deg] - $eps1='5' $eps2='0.6'","arg(S(2,1)) [deg] - $eps1='6' $eps2='0.9'","arg(S(2,1)) [deg] - $eps1='7' $eps2='1.1'","arg(S(2,1)) [deg] - $eps1='8' $eps2='1.4'","arg(S(2,1)) [deg] - $eps1='9' $eps2='1.8'","arg(S(2,1)) [deg] - $eps1='10' $eps2='2.1'","arg(S(2,1)) [deg] - $eps1='11' $eps2='2.5'","arg(S(2,1)) [deg] - $eps1='12' $eps2='2.8'"
1.69471624266145,-21.5540970090981,-27.1877025169904,-26.7838958068729,-25.4791482052966,-32.6708239294368,-38.7809973010278,-41.4287107921961,-45.7929193212396,-45.7915800877564,-43.4605161157338,-33.0346549220252,-29.584605446036,-26.4601465249112,-55.2644348007602,-62.5371449414784,27.3119981365106,168.254239649859,-24.5342840221012,151.550151906096,-13.0445622566753,-151.790843586315,85.9175085346089,67.4073150278302,9.21513747257085
1.70039138943249,-21.4388727202049,-27.0639107309092,-26.8047508209321,-25.548012609412,-32.7818757318931,-38.9079030408692,-41.5617347033785,-45.9436513569336,-45.9521823206037,-43.6445202942921,-33.1831155570255,-29.7092599221976,-33.5472280488954,-63.3195027070478,-71.7308700604537,17.2635642849859,157.632456998434,-35.7337747123143,139.828634912193,-25.314426953216,-164.416346921569,72.7882194313125,53.9278067641252,-4.57792806553485
1.70606653620352,-21.3268179928542,-26.9361468711358,-26.8323154616606,-25.6194163931621,-32.8939333833978,-39.0360471679498,-41.6963972775959,-46.0952271766657,-46.114545813888,-43.8304796498465,-33.3330341210222,-29.8362962826363,-40.6602686590709,-71.3511796183236,-80.9585037437298,7.19150789490055,147.024104846578,-46.9232153933379,128.117338776859,-37.5762744928952,-177.029449750254,59.662318301831,40.4509623597657,-18.3748798394787
1.71174168297456,-21.2181314945273,-26.8032768296314,-26.8681133747357,-25.6949061518071,-33.0068913959329,-39.1654049076603,-41.8326673851153,-46.2476037097143,-46.2787008514067,-44.0183358038604,-33.4844554945994,-29.9660124792489,-47.7983596990622,-79.3734946434706,-90.2139866700281,-2.89875907253204,136.428886034277,-58.1020874156735,116.416768120577,-49.8293210145248,170.370270176366,46.54016940049,26.9765543965699,-32.173165304585
1.7174168297456,-21.1130101753756,-26.6647756286561,-26.9136774512413,-25.7756568033997,-33.120679065474,-39.2959463605968,-41.9705059496374,-46.4007323455876,-46.4446693642844,-44.2080241106355,-33.6374559468908,-30.0985874218211,-54.9605337290673,-87.4019247805489,-99.4881419374227,-12.9991697487041,125.846397319071,-69.2698572937201,104.727410577007,-62.0727893811064,157.783217437122,33.4221559774056,13.5045623639722,-45.9697435134805
1.72309197651663,-21.0116496396375,-26.520789755975,-26.9703601187826,-25.8623939768246,-33.2352629712206,-39.4276353654263,-42.1098663658622,-46.5545593652479,-46.6124645542558,-44.3994735732349,-33.7921308699875,-30.2340692602902,-62.1457558449566,-95.4522611938567,-108.767912882372,-23.0999563175638,115.276216510586,-80.4259802397932,93.0497326400957,-74.305915114051,145.209774280074,20.3086856919383,0.0352371151586767,-59.7613702351975
1.72876712328767,-20.9142441460711,-26.3721420172411,-27.0390563223965,-25.9553631087276,-33.3506450325713,-39.5604285058847,-42.2506949647182,-46.7090264516889,-46.7820906738596,-44.5926065342362,-33.9485800682822,-30.3723768529346,-69.352912744109,-103.539299122947,-118.036250923371,-33.1906300755719,104.7179895582,-91.5699063229009,81.3841760909487,-86.527951836721,132.650295673866,7.20019451971257,-13.4308664663189,-73.5448702934221
1.73444227005871,-20.8209861062599,-26.2202663944533,-27.1199007096197,-26.0543399049898,-33.4668563948306,-39.6942743785816,-42.3929315105286,-46.8640712458489,-46.953542972016,-44.7873382410949,-34.1068924756886,-30.5133115586617,-76.5808000641116,-111.675511973405,-127.27299830123,-43.2609108624216,94.1715081674681,-102.701088834636,69.7311549302496,-98.7381765035494,120.105104317791,-5.90285124026636,-26.8928924271272,-87.3173855730518
1.74011741682975,-20.7320649743354,-26.067072733848,-27.212028767921,-26.1586748084537,-33.5839478623816,-39.8291132229727,-42.5365097242674,-47.0196279811053,-47.1268078029161,-44.983576384251,-34.267132281285,-30.6565784575994,-83.8281088159326,-119.869906026387,-136.456826101855,-53.3015479851107,83.6367697117723,-113.818994264807,58.0910527832956,-110.935893543792,107.57448585484,-18.9999550751013,-40.3497205375792,-101.076593822149
1.74579256360078,-20.6476654456216,-25.9147554045049,-27.3134871942161,-26.2673628327464,-33.7019779501356,-39.964876972587,-42.6813578299282,-47.1756281126906,-47.301862888025,-45.1812207201536,-34.4293280726545,-30.8018172877158,-91.0934119629305,-128.127242534625,-145.56791793458,-63.3049990506834,73.1140133076861,-124.923113077841,46.4642207028454,-123.120439280485,95.0586845110414,-32.0905923258411,-53.8000299840495,-114.820884104956
