Freq [GHz],"dB(S(1,1))_1 [] - $eps1='1' $eps2='0'","dB(S(1,1))_1 [] - $eps1='2' $eps2='0.1'","dB(S(1,1))_1 [] - $eps1='3' $eps2='0.2'","dB(S(1,1))_1 [] - $eps1='4' $eps2='0.3'","dB(S(1,1))_1 [] - $eps1='5' $eps2='0.6'","dB(S(1,1))_1 [] - $eps1='6' $eps2='0.9'","dB(S(1,1))_1 [] - $eps1='7' $eps2='1.1'","dB(S(1,1))_1 [] - $eps1='8' $eps2='1.4'","arg(S(1,1)) [deg] - $eps1='1' $eps2='0'","arg(S(1,1)) [deg] - $eps1='2' $eps2='0.1'","arg(S(1,1)) [deg] - $eps1='3' $eps2='0.2'","arg(S(1,1)) [deg] - $eps1='4' $eps2='0.3'","arg(S(1,1)) [deg] - $eps1='5' $eps2='0.6'","arg(S(1,1)) [deg] - $eps1='6' $eps2='0.9'","arg(S(1,1)) [deg] - $eps1='7' $eps2='1.1'","arg(S(1,1)) [deg] - $eps1='8' $eps2='1.4'"
0.843444227005871,-2.47862278394699,-2.46958518821804,-2.51670241371284,-2.47167476246806,-2.45715842298292,-2.46129471165271,-2.41392884616591,-2.40857282573598,162.627928358137,155.572377986505,151.726040481216,150.20328812101,148.041660272785,147.022779468258,146.539196997586,145.677942605401
0.849119373776908,-2.4565078923356,-2.46778872764852,-2.50784735917583,-2.46127040698406,-2.45978888153563,-2.46905019790127,-2.42175084715682,-2.41668636763477,160.794843205989,153.826215138584,150.12213880024,148.514942460319,146.384579395302,145.358819639324,144.862520928606,144.00247866132
0.854794520547945,-2.43716209061921,-2.4689305562074,-2.49630952924886,-2.45397615366261,-2.46402930290462,-2.47823692875119,-2.4318227006342,-2.42656320438243,158.971627296265,152.094770413299,148.49813621884,146.799919107074,144.719357778118,143.693215113267,143.183763030338,142.318488337204
0.860469667318982,-2.4204500408186,-2.47238841349363,-2.48355843759327,-2.45079095408916,-2.47014885650295,-2.48875025029175,-2.44394156651669,-2.43842650603951,157.157168977073,150.379005295462,146.843721645909,145.062675692137,143.045638779484,142.024325656144,141.503473240714,140.62607183346
0.86614481409002,-2.40624107411215,-2.47743938447237,-2.47146252735445,-2.45246150880638,-2.47837088737419,-2.5005570127351,-2.45786296954601,-2.45242589918432,155.350410377276,148.678888123234,145.153778673314,143.308914585278,141.363779697495,140.350414384354,139.821544849033,138.925870913721
0.871819960861057,-2.39440892839192,-2.48329954759703,-2.46187662236223,-2.45947173941583,-2.48882973619519,-2.51369317518198,-2.47334860805789,-2.46861472268607,153.550331936034,146.993086783275,143.428497182613,141.545633916236,139.674648299191,138.669822763238,138.13718008722,137.218772253725
0.877495107632094,-2.38483198709622,-2.48918745342001,-2.45634185301489,-2.47194741084739,-2.50154694163001,-2.52825220084288,-2.49020918335507,-2.48695003636246,151.755940011829,145.318714236089,141.672211945487,139.781082599583,137.97927440208,136.981112527663,136.448992932618,135.5055922125
0.883170254403131,-2.3773930115353,-2.49441130412178,-2.45594837563969,-2.48951004675617,-2.51643954385557,-2.54436808660225,-2.50833438247211,-2.50731297774012,149.966255887277,143.651222883505,139.891828132127,138.024118035802,136.278456534182,135.283161839939,134.75521170744,133.786811434138
0.888845401174168,-2.37198008620087,-2.49846971074909,-2.46132102041133,-2.5111624283606,-2.53335999210671,-2.56219618919523,-2.52770620598696,-2.52954284457105,148.180307509003,141.984550535738,138.095467772778,136.282679870621,134.572470401064,133.57521628095,133.053929707402,132.062408983261
0.894520547945205,-2.36848675562545,-2.50114533245485,-2.47266143092022,-2.53531991215839,-2.55215094493023,-2.58189335974848,-2.548395740405,-2.55347619469371,146.397123286844,140.311578217302,136.291556616138,134.561513911993,132.860987446671,131.856899875461,131.343354702412,130.331817268982
0.900195694716243,-2.36681269128699,-2.50256547719996,-2.48979510990158,-2.56008626769117,-2.57269181673209,-2.6035982937945,-2.57054583647296,-2.57898258018385,144.615727312443,138.624870079135,134.488280965942,132.85991920354,131.143207525101,130.12818551154,129.622018349979,128.593991547046
0.90587084148728,-2.36686422955507,-2.50320870486928,-2.51219692796613,-2.58376334923801,-2.59492031362634,-2.62741383793839,-2.59434357541836,-2.60599029964995,142.835136513575,136.917560937741,132.693220675139,131.170862115343,129.418110325247,128.389321604996,127.888916653225,126.847566278389
0.911545988258317,-2.36855496921228,-2.50385152812858,-2.53899121046029,-2.605394230917,-2.61882754858992,-2.65339391413821,-2.61998736403879,-2.63449832843022,141.054359051008,135.184191263144,130.912932055339,129.482570239177,127.684688036357,126.640715321765,126.143563350498,125.091057831792
0.917221135029354,-2.37180627774762,-2.50546774260995,-2.5689452415685,-2.62503082340619,-2.64443870556151,-2.68153838910267,-2.64765435945139,-2.66457365173984,139.27239449088,133.421301657662,129.152264200062,127.782243990516,125.942073211954,124.882784837734,124.385949179876,123.323068908833
0.922896281800391,-2.37654779481997,-2.50910586744883,-2.60050308449476,-2.64356725988444,-2.67179348544592,-2.71179789440099,-2.67747426211267,-2.69633608378744,137.488234867452,131.627683655875,127.413286405295,126.059872752912,124.189556426671,123.115807577903,122.616416654229,121.542453895946
0.928571428571428,-2.38271782703302,-2.51577200924008,-2.63192896006649,-2.66228884241082,-2.70093525705975,-2.74408828195087,-2.70951437371825,-2.72993504047837,135.700866977883,129.804295348177,125.693988859714,124.310129687816,122.42654793379,121.3397962205,120.835477365861,119.748416559988
0.934246575342466,-2.39026367806369,-2.52633741078001,-2.66160843280034,-2.68243924761884,-2.73190793192409,-2.77831156017346,-2.74377846598973,-2.76552391452098,133.90927564776,127.953935562954,123.987389201272,122.531964392253,120.65254378101,119.554430704966,119.043612089573,117.940528444588
