Freq [GHz],"dB(S(2,1)) [] - $eps1='1' $eps2='0'","dB(S(2,1)) [] - $eps1='2' $eps2='0.1'","dB(S(2,1)) [] - $eps1='3' $eps2='0.2'","dB(S(2,1)) [] - $eps1='4' $eps2='0.3'","dB(S(2,1)) [] - $eps1='5' $eps2='0.6'","dB(S(2,1)) [] - $eps1='6' $eps2='0.9'","dB(S(2,1)) [] - $eps1='7' $eps2='1.1'","dB(S(2,1)) [] - $eps1='8' $eps2='1.4'","dB(S(2,1)) [] - $eps1='9' $eps2='1.8'","arg(S(2,1)) [deg] - $eps1='1' $eps2='0'","arg(S(2,1)) [deg] - $eps1='2' $eps2='0.1'","arg(S(2,1)) [deg] - $eps1='3' $eps2='0.2'","arg(S(2,1)) [deg] - $eps1='4' $eps2='0.3'","arg(S(2,1)) [deg] - $eps1='5' $eps2='0.6'","arg(S(2,1)) [deg] - $eps1='6' $eps2='0.9'","arg(S(2,1)) [deg] - $eps1='7' $eps2='1.1'","arg(S(2,1)) [deg] - $eps1='8' $eps2='1.4'","arg(S(2,1)) [deg] - $eps1='9' $eps2='1.8'"
0.928571428571428,-26.3479831988564,-22.7446056539635,-23.3974253535748,-25.1802502969124,-27.9194753931364,-29.7303199220225,-30.8019341248194,-31.688721428504,-30.0433204187129,-89.103061030354,110.350341349317,-3.40586868041818,-95.8486857299631,-179.463570827568,105.177341189318,34.386407060871,-32.8230907356695,-84.0264002383031
0.934246575342466,-26.3548832637413,-22.7382705709146,-23.3407751773244,-25.1163819918504,-27.9017091196367,-29.6795384240209,-30.7291119496535,-31.6517509265836,-30.0269986792105,-94.5039190603421,103.892476359905,-10.2148021200604,-102.373062255164,173.322495871411,97.0472611248689,26.1011245788865,-41.8784879013269,-93.1790260252757
0.939921722113503,-26.359324417005,-22.7338278696665,-23.284477986785,-25.0345455477492,-27.8688454074753,-29.6305912080305,-30.6459102921618,-31.6165814735949,-29.998847888956,-99.9057569639174,97.4288959878189,-17.1293107100022,-108.963944168233,166.149188837639,88.906980741229,17.7530754070818,-50.9388886834931,-102.338841438101
0.94559686888454,-26.3614041685148,-22.731367007612,-23.2328963103166,-24.9363201896213,-27.8186553677511,-29.582882069028,-30.5543606121866,-31.5819850098196,-29.9595468142626,-105.308768392139,90.9655168105731,-24.1440874881715,-115.633361539405,158.993991705897,80.7653154193968,9.33329536232115,-59.9968675271052,-111.522623862817
0.951272015655577,-26.3612100423945,-22.7307784843816,-23.1902584608752,-24.8233240101827,-27.7501884188189,-29.5355074748099,-30.4566606173828,-31.5465253288089,-29.9103124815341,-110.713142567292,84.5080864546507,-31.2457232357428,-122.393681622039,151.831218089335,72.6296824546275,0.83665519759688,-69.0483769558963,-120.743515098859
0.956947162426614,-26.3588205992887,-22.7317670643531,-23.160265373226,-24.6974100729812,-27.663749842716,-29.4872937217191,-30.3550148878826,-31.508734919157,-29.8526438660095,-116.119073446043,78.061916867432,-38.4126640105468,-129.258119412955,144.635374405051,64.505687084931,-7.7382539633998,-78.0928379224844,-130.010889292874
0.962622309197652,-26.3543066152272,-22.7338734131146,-23.1456782715427,-24.5608954722218,-27.56069867025,-29.4368498560321,-30.2515008798232,-31.4672801264733,-29.788131746726,-121.526767579303,71.6316483313266,-45.6161361530437,-136.24051916494,137.383770501479,56.3966656752715,-16.3894512069917,-87.1328330405238,-139.330738374649
0.968297455968689,-26.3477323903039,-22.7365024693757,-23.1479515466302,-24.4167823184994,-27.4431569933388,-29.382648194826,-30.1479599260287,-31.4210926410863,-29.7183403405238,-126.936450519706,65.2210580126349,-52.8221239124848,-143.354353352913,130.058124201354,48.3032361546507,-25.1120368542651,-96.1734686977196,-148.706252834315
0.973972602739726,-26.339157145896,-22.7389563994344,-23.1669820532001,-24.2689292311412,-27.3137084491049,-29.3231383892721,-30.04591085905,-31.3694523487136,-29.6447446765914,-132.348371659772,58.8329195911303,-59.9942660160129,-150.610942129303,122.645226678974,40.2229661989024,-33.8987644139774,-105.221528069226,-158.13836563673
0.979647749510763,-26.3286364752414,-22.7404699944168,-23.2010330946425,-24.1221288863936,-27.1751349804742,-29.2568890228378,-29.946485507507,-31.3120161777551,-29.5686981887409,-137.762807473036,52.4689167465778,-67.0973007185,-158.016938011319,115.136903176593,32.1502963347664,-42.7406979201276,-114.28456364972,-167.626148810946
0.9853228962818,-26.3162238058931,-22.7402462658131,-23.2468587884925,-23.982037304972,-27.0302132131301,-29.1827373131519,-29.8503881714541,-31.2487985338893,-29.4914059050547,-143.180063100135,46.1296099728123,-74.1005212581041,-165.571182589263,107.529537744667,24.0768230734736,-51.627943341095,-123.370070164393,-177.167067426699
0.990998043052837,-26.3019718383966,-22.7374907724217,-23.3000116926987,-23.854885093885,-26.8815724760368,-29.0999193476938,-29.7578831429611,-31.1801156431389,-29.4138873693333,-148.60047235075,39.8144503163585,-80.9806768932563,-173.261198496163,99.8233890878413,15.9919596050807,-60.5504295272874,-132.484839967642,173.242818984462
0.996673189823875,-26.2859339226439,-22.7314429778356,-23.3552783244531,-23.7468938739062,-26.7316061812498,-29.0081551384868,-29.6688141081852,-31.1065114840862,-29.3369271671257,-154.024396139182,33.521836897259,-87.723884304427,178.940085837467,92.0218588410308,7.88388518636645,-69.4986927308518,-141.634546307122,163.608579088189
1.00234833659491,-26.2681653363395,-22.7214041312357,-23.4071661887929,-23.6633536191296,-26.5824243736949,-28.9076741215388,-29.5826566715116,-31.0286805221155,-29.2610258459577,-159.452219512253,27.2492045854687,-94.3263489982404,171.076271987315,84.1308133339277,-0.259382538652791,-78.4646002828676,-150.823545465082,153.935949849013
1.00802348336595,-26.2487244366415,-22.7067607963948,-23.45036663235,-23.6074240919683,-26.4358346530263,-28.7991820101747,-29.4986010969713,-30.9473987862337,-29.1863745093569,-164.884347375015,20.9931403640554,-100.793948851176,163.20652005708,76.1580148391174,-8.44897339905107,-87.4419419498142,-160.05485141613,144.230671315001
1.01369863013699,-26.2276736599311,-22.6870039909866,-23.4801358619208,-23.5789084603003,-26.2933392549965,-28.6837824201053,-29.4156579374659,-30.8634687695994,-29.1128762931573,-170.321199091909,14.7495139493937,-107.140924640444,155.400185733146,68.1126869661265,-16.6943473192495,-96.4268249229848,-169.330220350503,134.49771408466
